gen,TP,MO,SR,TP_o,MO_o,SR_o
17,5.735,16,1.9999,0.35102874603174605,0.02269515633974818,0.33333333333333326
17,5.7218,16,8.2784,0.5391742222222222,0.02019228055372869,0.33333333333333337
17,6.2389,16,9.4227,0.5817111587301588,0.020705293038166123,0.33333333333333337
17,6.6051,16,9.6323,0.5938118571428571,0.021061819567595768,0.33333333333333337
17,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
17,6.5654,64,9.6269,0.6930196984126984,0.024809733889173253,0.0
17,5.7016,64,8.0895,0.6331865873015872,0.02442281941429812,0.0
17,6.7647,64,3.9502,0.5258821904761906,0.025795469090249653,0.0
17,6.7413,64,1.8052,0.4611607619047619,0.027041270707773353,0.0
17,6.7412,64,9.1924,0.6827751746031745,0.02492541139606853,0.0
17,5.6882,64,9.1873,0.665907888888889,0.02434992964203332,0.0
17,6.2389,64,9.4233,0.6817291587301587,0.024663914027683514,0.0
17,6.6065,64,9.6325,0.6938400793650794,0.024828272159629815,0.0
17,6.8565,64,4.6896,0.5495213333333333,0.025645915522819623,0.0
17,6.2165,64,2.3651,0.46962760317460317,0.025983540672728924,0.0
18,5.8194,4,1.4998,0.23736542857142856,0.021732292177687598,0.6666666666666666
18,5.8194,4,1.4998,0.23736542857142856,0.021732292177687598,0.6666666666666666
18,5.687763214111328,4,1.9487013816833496,0.2487429972300454,0.01866062830789803,0.6666666666666667
18,5.7254,16,1.6888,0.34154336507936506,0.023122480094051424,0.33333333333333326
18,5.7237,16,1.2452,0.3282083809523809,0.024082974547141173,0.33333333333333337
18,5.735,16,1.9999,0.35102874603174605,0.02269515633974818,0.33333333333333326
18,5.7218,16,8.2784,0.5391742222222222,0.02019228055372869,0.33333333333333337
18,5.7226,16,8.1607,0.5356559206349206,0.020209447657675177,0.33333333333333337
18,6.2389,16,9.4227,0.5817111587301588,0.020705293038166123,0.33333333333333337
18,6.6051,16,9.6323,0.5938118571428571,0.021061819567595768,0.33333333333333337
18,5.6882,16,1.6932,0.3410848888888889,0.022966238978738972,0.33333333333333337
18,6.5654,64,9.6269,0.6930196984126984,0.024809733889173253,0.0
18,5.7016,64,8.0895,0.6331865873015872,0.02442281941429812,0.0
18,6.7413,64,1.8052,0.4611607619047619,0.027041270707773353,0.0
18,6.2389,64,9.4233,0.6817291587301587,0.024663914027683514,0.0
18,6.6065,64,9.6324,0.6938370793650794,0.024828279808975322,0.0
18,6.8565,64,9.6913,0.6995723333333332,0.024934342369178464,0.0
18,6.8558,64,1.8052,0.46297822222222224,0.02717232194730679,0.0
18,6.8907,64,4.6896,0.5500641904761905,0.025667842527818747,0.0
18,6.2165,64,2.3651,0.46962760317460317,0.025983540672728924,0.0
